user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_experience,mifid_money_other_brokers,mifid_invested_other_brokers,user_flow_name,first_trade_investor_account_demo_days,days_until_conversion_or_today,is_converted
EUR,36,0,1,1,0,,0,1,13,5,0,0,0,0,3,131,231,0
EUR,38,0,0,,0,,0,1,8,7,1,1,0,0,3,,231,0
USD,25,0,0,,0,,0,1,12,13,1,0,1,12,3,0,231,0
USD,52,0,1,0,1,0,1.929161200709931321861254726,3,12,13,1,0,1,12,2,0,0,1
USD,22,0,1,1,0,,0,1,13,12,1,0,1,12,3,,231,0
EUR,77,1,0,,0,,0,1,12,12,0,0,1,12,1,0,232,0
GBP,41,0,1,1,0,,0,1,6,7,0,0,0,0,3,,232,0
USD,93,0,0,,0,,0,1,13,13,1,1,1,12,3,,232,0
EUR,36,0,0,,0,,0,1,13,13,1,1,1,12,3,,232,0
USD,120,0,0,,0,,0,1,7,8,0,1,1,5,3,,232,0
USD,31,0,0,,0,,0,1,0,0,0,0,0,0,0,,232,0
USD,33,0,1,4,0,,0,1,5,13,1,0,1,13,3,,233,0
USD,33,0,1,3,0,,0,1,12,5,0,0,0,0,3,0,233,0
EUR,36,0,0,,0,,0,1,13,13,1,0,0,0,3,,233,0
EUR,36,0,1,1,0,,0,1,12,12,0,0,1,12,3,,233,0
EUR,36,0,1,1,0,,0,1,13,13,1,0,1,12,3,,233,0
EUR,36,0,0,,0,,0,1,5,5,0,0,0,0,3,0,233,0
USD,33,26,0,,0,,0,1,0,0,0,0,0,0,3,,233,0
USD,49,0,1,35,0,,0,1,5,5,1,1,0,0,3,0,233,0
USD,85,1,1,1,0,,0,1,13,13,1,0,1,12,3,,234,0
USD,77,0,0,,0,,0,1,12,12,0,1,0,0,3,,234,0
USD,87,0,0,,0,,0,1,12,12,0,0,0,0,0,,234,0
EUR,36,0,0,,0,,0,1,13,13,1,0,1,12,3,,234,0
USD,36,0,0,,0,,0,1,7,7,1,1,1,13,3,,234,0
EUR,36,0,1,1,0,,0,1,13,13,1,1,1,5,3,1,234,0
USD,77,0,0,,0,,0,1,12,11,1,1,1,12,3,,234,0
USD,33,0,0,,0,,0,1,12,12,1,0,0,0,0,1,234,0
EUR,100,0,0,,0,,0,1,13,13,1,0,0,0,3,4,235,0
USD,20,0,0,,0,,0,1,12,12,1,1,1,12,0,,235,0
USD,36,0,1,3,0,,0,1,5,5,1,0,0,0,3,,235,0
EUR,36,0,1,5,1,5,1.929161200709931321861254726,0,12,12,0,0,0,0,0,,5,1
EUR,36,5,1,6,1,10,38.58322401419862643722509453,5,7,13,1,1,0,0,0,1,9,1
USD,85,0,0,,0,,0,1,12,12,0,0,0,0,3,,236,0
EUR,36,0,1,0,1,0,3.858322401419862643722509453,0,6,6,0,0,1,13,3,,0,1
EUR,38,0,1,0,0,,0,1,12,12,0,1,1,12,3,,236,0
EUR,36,0,1,0,1,17,1.929161200709931321861254726,0,12,13,1,0,0,0,0,,17,1
EUR,36,0,0,,0,,0,1,0,0,0,0,0,0,3,,236,0
EUR,36,0,1,4,1,27,1.929161200709931321861254726,0,6,13,0,0,0,0,3,,27,1
EUR,36,0,1,0,1,82,2.106644031175245003472490161,0,13,6,1,0,1,13,3,0,236,0
EUR,36,0,0,,0,,0,1,8,6,1,1,0,0,3,0,237,0
USD,77,0,0,,0,,0,1,12,12,1,1,1,12,3,,237,0
USD,120,0,1,1,0,,0,1,7,7,1,1,1,6,3,209,237,0
EUR,29,0,1,1,1,5,30.86657921135890114978007562,5,9,8,0,0,1,7,3,,5,1
GBP,41,3,1,5,1,15,7.716644802839725287445018906,5,6,5,0,0,0,0,3,,17,1
USD,46,0,1,1,0,,0,1,12,12,0,0,0,0,3,14,237,0
USD,24,0,0,,0,,0,1,7,8,0,0,1,6,3,,237,0
EUR,36,3,1,4,1,4,7.716644802839725287445018906,0,11,9,1,0,1,7,0,0,4,1
USD,28,74,1,91,1,91,9.645806003549656609306273632,0,8,5,1,1,1,6,2,0,91,1
EUR,36,94,1,95,1,97,7.716644802839725287445018906,5,13,13,1,1,1,13,0,0,97,1
USD,6,0,1,113,0,,0,1,12,13,0,0,0,0,3,1,238,0
EUR,36,7,1,8,1,12,11.57496720425958793116752836,5,8,6,1,0,1,7,3,5,12,1
EUR,36,0,1,5,0,,0,1,6,6,1,0,0,0,3,,238,0
EUR,36,0,1,0,1,5,52.64677058415001157496720426,5,10,9,1,1,1,9,3,,238,0
EUR,36,0,1,0,1,2,1.929161200709931321861254726,5,12,12,1,0,1,12,3,0,2,1
EUR,38,0,1,5,0,,0,1,13,13,1,1,1,13,0,,238,0
EUR,6,25,1,26,0,,0,1,12,12,1,0,1,12,3,26,238,0
USD,25,1,0,,0,,0,1,12,12,1,1,0,0,0,,239,0
EUR,82,0,1,1,1,14,19.29161200709931321861254726,5,9,10,1,0,1,7,3,0,15,1
EUR,36,0,1,6,0,,0,1,12,13,0,0,0,0,3,,239,0
EUR,36,2,0,,0,,0,1,0,0,0,0,0,0,3,0,239,0
USD,8,0,1,0,0,,0,1,6,13,0,0,1,5,3,0,239,0
EUR,36,0,1,0,1,3,3.858322401419862643722509453,5,8,7,1,0,0,0,2,0,3,1
EUR,36,3,0,,0,,0,1,12,11,1,0,0,0,3,,239,0
USD,77,0,0,,0,,0,1,12,12,0,0,0,0,0,0,239,0
USD,46,0,1,0,1,0,7.716644802839725287445018906,3,7,7,1,1,1,12,3,,0,1
EUR,36,1,1,2,0,,0,1,12,12,0,0,0,0,3,0,240,0
EUR,36,0,1,1,0,,0,1,13,5,0,1,0,0,3,0,240,0
EUR,36,0,0,,0,,0,1,0,0,0,0,0,0,3,0,240,0
USD,22,0,1,1,0,,0,1,12,13,0,0,0,0,3,0,240,0
EUR,36,4,1,14,0,,0,1,12,13,0,0,0,0,0,3,240,0
USD,25,0,0,,0,,0,1,12,7,0,0,1,12,3,,240,0
EUR,36,0,0,,0,,0,1,12,12,0,0,0,0,3,,240,0
EUR,29,0,1,0,0,,0,1,13,12,0,0,0,0,3,0,240,0
USD,41,0,0,,0,,0,1,10,8,1,0,1,8,3,,240,0
EUR,58,0,1,8,1,63,57.87483602129793965583764179,5,9,9,0,0,1,7,3,,65,1
USD,77,0,1,1,0,,0,1,13,13,0,0,1,12,0,0,240,0
EUR,21,144,1,145,0,,0,1,9,13,1,1,1,13,2,144,241,0
USD,77,0,0,,0,,0,1,12,13,1,0,0,0,3,15,241,0
USD,22,0,0,,0,,0,1,12,12,0,0,0,0,3,,241,0
EUR,36,0,1,4,0,,0,1,12,12,0,0,1,12,3,3,241,0
EUR,36,0,1,1,1,2,1.929161200709931321861254726,0,5,6,1,0,1,12,2,,3,1
GBP,41,0,1,1,0,,0,1,6,6,0,0,0,0,3,,241,0
USD,6,9,1,10,0,,0,1,12,13,0,0,0,0,3,10,242,0
USD,77,0,1,3,0,,0,1,7,6,1,0,1,5,3,2,242,0
USD,26,0,0,,0,,0,1,12,12,0,1,1,12,3,,242,0
EUR,36,0,1,2,0,,0,1,13,5,0,0,1,12,3,2,242,0
EUR,36,0,1,2,1,5,3.858322401419862643722509453,5,6,6,1,1,1,13,2,,5,1
EUR,29,0,1,2,1,5,7.716644802839725287445018906,5,6,7,0,0,1,6,2,,6,1
USD,36,3,0,,0,,0,1,12,6,0,0,0,0,3,,242,0
USD,77,100,1,103,0,,0,1,13,13,1,1,0,0,1,30,243,0
EUR,58,13,1,13,0,,0,1,13,12,0,1,0,0,0,2,243,0
EUR,36,0,1,4,1,24,1.929161200709931321861254726,0,12,12,1,0,1,13,3,3,24,1
EUR,36,0,1,3,1,3,3.858322401419862643722509453,0,12,12,1,1,1,12,3,,3,1
USD,22,10,1,10,0,,0,1,12,13,0,0,0,0,0,0,243,0
USD,22,0,0,,0,,0,1,0,0,0,0,0,0,3,,243,0
GBP,25,0,0,,0,,0,1,13,8,1,1,1,12,3,0,243,0
USD,117,109,1,109,1,164,1.967744424724129948298479821,5,5,6,1,0,1,12,3,,243,0
USD,117,0,0,,0,,0,1,12,12,0,0,0,0,3,0,244,0
USD,77,0,0,,0,,0,1,12,13,1,0,1,12,3,,244,0
EUR,38,0,1,1,0,,0,1,5,5,1,1,1,13,0,0,244,0
EUR,36,0,1,1,1,1,3.858322401419862643722509453,0,5,12,1,0,1,12,3,,4,1
EUR,36,0,0,,0,,0,1,12,12,0,0,0,0,3,0,244,0
USD,101,0,0,,0,,0,1,8,7,0,0,1,8,3,,244,0
EUR,24,1,0,,0,,0,1,12,5,0,1,1,13,3,,244,0
USD,22,0,0,,0,,0,1,13,12,0,1,0,0,3,0,245,0
USD,20,0,1,1,0,,0,1,12,13,0,0,0,0,3,,245,0
EUR,58,0,0,,0,,0,1,12,12,1,1,1,12,3,,245,0
EUR,36,0,0,,0,,0,1,13,12,1,0,0,0,3,,245,0
USD,85,0,0,,0,,0,1,12,13,0,0,1,12,0,0,245,0
EUR,36,18,0,,0,,0,1,6,7,1,0,0,0,0,2,245,0
USD,1,0,0,,0,,0,1,13,12,0,0,0,0,3,0,245,0
USD,77,0,0,,0,,0,1,12,12,0,0,0,0,3,2,246,0
USD,22,0,0,,0,,0,1,12,12,0,0,0,0,0,0,246,0
USD,25,10,1,13,1,22,2.193456285207191912956246624,5,7,6,1,0,0,0,2,0,22,1
EUR,36,0,0,,0,,0,1,7,13,1,1,1,9,2,0,246,0
USD,41,0,0,,0,,0,1,13,12,1,1,1,12,3,,246,0
USD,77,32,0,,0,,0,1,0,0,0,0,0,0,3,,247,0
USD,6,0,0,,0,,0,1,12,12,0,0,0,0,3,,247,0
USD,77,0,0,,0,,0,1,12,12,0,0,0,0,3,,247,0
EUR,36,42,1,43,0,,0,1,12,13,1,1,1,13,2,0,247,0
USD,33,0,0,,0,,0,1,12,12,1,1,1,12,3,,247,0
USD,6,2,1,7,0,,0,1,6,6,0,0,0,0,0,0,247,0
USD,77,0,1,0,0,,0,1,12,12,1,0,0,0,0,0,247,0
USD,77,0,1,2,0,,0,1,12,12,0,0,0,0,3,0,248,0
EUR,36,0,0,,0,,0,1,13,8,0,0,1,9,0,0,248,0
EUR,36,2,1,4,1,4,7.716644802839725287445018906,4,13,13,1,0,1,12,3,,4,1
EUR,36,0,1,2,1,2,23.14993440851917586233505672,0,6,6,1,0,0,0,2,,2,1
USD,79,0,1,1,0,,0,1,12,9,0,1,0,0,3,,248,0
EUR,36,3,0,,0,,0,1,6,5,0,0,0,0,3,,248,0
EUR,36,0,1,1,0,,0,1,12,7,0,0,1,13,3,1,248,0
USD,6,0,0,,0,,0,1,0,0,0,0,0,0,3,,248,0
GBP,41,18,1,18,1,24,19.29161200709931321861254726,5,0,0,0,0,0,0,3,23,24,1
USD,33,165,0,,0,,0,1,12,12,0,0,1,12,3,,249,0
USD,25,0,1,2,0,,0,1,12,12,0,0,0,0,3,,249,0
EUR,36,0,0,,0,,0,1,6,5,0,0,1,12,3,4,249,0
USD,87,2,0,,0,,0,1,0,0,0,0,0,0,0,,249,0
USD,120,1,1,2,0,,0,1,8,6,0,1,1,9,3,1,249,0
EUR,21,0,1,5,1,16,115.7496720425958793116752836,5,10,10,1,1,1,9,0,2,16,1
USD,31,0,0,,0,,0,1,0,0,0,0,0,0,0,,249,0
USD,6,0,0,,0,,0,1,12,12,1,0,0,0,0,3,249,0
USD,77,0,0,,0,,0,1,12,5,0,0,0,0,3,,250,0
USD,85,0,0,,0,,0,1,13,13,0,0,0,0,0,,250,0
USD,78,7,1,10,1,41,0.4663554286596187977467397176,5,13,13,0,0,1,7,1,6,14,1
USD,85,0,1,4,0,,0,1,6,7,1,0,0,0,3,0,250,0
EUR,36,40,0,,0,,0,1,12,12,0,0,0,0,3,4,250,0
EUR,36,10,1,10,1,12,11.57496720425958793116752836,0,9,6,0,0,0,0,3,0,14,1
USD,85,0,1,0,0,,0,1,12,12,1,0,0,0,3,,250,0
USD,77,0,0,,0,,0,1,12,13,0,0,0,0,3,,251,0
EUR,36,0,1,4,0,,0,1,7,7,0,0,0,0,3,,251,0
EUR,36,0,1,1,0,,0,1,12,12,0,0,1,12,3,,251,0
EUR,91,0,1,4,0,,0,1,6,7,0,1,1,5,0,,251,0
USD,25,0,1,0,0,,0,1,13,5,1,1,1,12,3,,251,0
EUR,36,0,1,0,0,,0,1,6,7,1,0,1,13,3,1,251,0
GBP,117,0,1,0,0,,0,1,13,7,0,0,1,12,0,0,251,0
EUR,38,0,1,0,1,6,9.645806003549656609306273632,5,7,7,1,0,1,5,3,,6,1
USD,16,0,1,11,1,138,1.929161200709931321861254726,3,10,9,1,1,1,13,3,,251,0
USD,22,3,0,,0,,0,1,12,12,0,0,0,0,3,1,252,0
USD,22,3,1,5,1,8,1.929161200709931321861254726,3,10,7,1,0,1,7,3,0,8,1
EUR,36,26,0,,0,,0,1,6,12,0,0,0,0,0,0,252,0
USD,120,0,1,0,0,,0,1,5,13,0,1,0,0,3,0,252,0
EUR,36,0,1,0,1,8,11.57496720425958793116752836,0,5,13,0,0,1,5,3,,9,1
USD,77,0,0,,0,,0,1,12,12,1,0,0,0,3,,252,0
USD,79,0,0,,0,,0,1,12,12,0,0,0,0,2,0,252,0
USD,25,0,0,,0,,0,1,12,13,0,0,0,0,3,1,252,0
EUR,36,15,1,16,0,,0,1,12,12,1,0,0,0,3,1,253,0
EUR,36,0,0,,0,,0,1,13,13,1,1,1,13,3,0,253,0
USD,77,0,0,,0,,0,1,12,12,1,1,0,0,3,,253,0
USD,85,0,0,,0,,0,1,12,8,0,0,0,0,3,,253,0
EUR,77,0,0,,0,,0,1,12,12,0,0,0,0,3,0,253,0
USD,22,0,0,,0,,0,1,12,12,0,0,0,0,3,,254,0
EUR,36,0,1,1,1,2,57.87483602129793965583764179,5,7,7,0,1,0,0,3,107,2,1
EUR,36,0,1,1,1,3,1.929161200709931321861254726,5,12,13,1,0,0,0,3,2,3,1
USD,6,0,1,4,0,,0,1,13,5,1,0,1,12,0,,254,0
USD,36,0,1,0,0,,0,1,12,13,1,0,1,12,3,,254,0
USD,6,0,0,,0,,0,1,12,12,0,0,0,0,3,,254,0
USD,31,62,1,78,0,,0,1,13,13,1,1,1,12,3,61,255,0
EUR,36,0,1,1,1,18,2.314993440851917586233505672,0,12,12,1,0,1,12,3,,25,1
GBP,41,0,1,1,0,,0,1,6,7,1,0,1,8,0,,255,0
USD,41,0,0,,0,,0,1,12,13,1,1,0,0,3,,255,0
EUR,77,1,1,1,0,,0,1,5,15,0,0,1,6,3,1,255,0
EUR,36,0,1,2,0,,0,1,13,13,0,0,0,0,3,,255,0
EUR,36,0,1,1,1,9,3.858322401419862643722509453,0,6,13,0,0,1,12,3,,9,1
USD,33,0,0,,0,,0,1,12,12,1,1,1,12,3,,256,0
USD,120,0,0,,0,,0,1,12,13,1,0,1,12,3,,256,0
USD,41,0,0,,0,,0,1,5,5,1,1,1,5,0,,256,0
EUR,36,0,1,2,1,25,2.314993440851917586233505672,5,13,5,1,1,1,12,3,,25,1
EUR,36,0,1,45,1,51,1.929161200709931321861254726,0,12,13,1,1,0,0,3,2,51,1
USD,22,0,1,4,0,,0,1,12,13,0,0,1,12,1,0,257,0
EUR,36,0,0,,0,,0,1,13,13,0,1,1,12,3,0,257,0
EUR,36,0,1,3,1,10,1.929161200709931321861254726,0,12,5,0,0,0,0,3,,10,1
EUR,36,0,1,3,1,14,19.29161200709931321861254726,0,7,6,0,0,1,5,3,,18,1
GBP,41,0,1,4,1,41,19.29161200709931321861254726,0,7,7,1,0,1,12,3,,41,1
USD,6,0,0,,0,,0,1,12,12,0,1,1,12,3,,257,0
EUR,36,0,0,,0,,0,1,12,12,0,0,0,0,3,7,257,0
EUR,36,6,0,,0,,0,1,12,12,0,0,0,0,0,207,257,0
EUR,36,168,0,,0,,0,1,5,6,1,1,1,5,1,0,257,0
EUR,36,0,0,,0,,0,1,12,12,0,0,0,0,0,0,257,0
EUR,36,0,1,11,0,,0,1,13,5,0,0,1,12,3,,257,0
EUR,36,0,1,20,0,,0,1,6,6,1,0,1,13,3,,257,0
EUR,36,26,1,27,1,146,1.929161200709931321861254726,0,5,13,0,0,1,12,0,0,257,0
USD,46,0,0,,0,,0,1,12,12,0,0,0,0,3,0,257,0
USD,46,0,1,0,0,,0,1,12,12,0,0,0,0,0,0,257,0
EUR,25,0,1,0,0,,0,1,6,9,1,1,1,6,3,,257,0
EUR,36,26,0,,0,,0,1,0,0,0,0,0,0,3,,258,0
GBP,41,1,1,1,1,1,3.858322401419862643722509453,0,9,10,1,1,1,9,3,,1,1
GBP,41,0,1,1,1,5,15.43328960567945057489003781,0,7,8,1,1,1,6,2,0,5,1
USD,26,0,1,1,0,,0,1,12,12,0,1,1,12,0,,258,0
USD,6,0,1,5,0,,0,1,12,12,0,0,0,0,3,0,258,0
USD,22,15,1,21,1,22,5.015819121845821436839262289,3,12,5,1,0,0,0,0,14,22,1
EUR,36,0,1,0,1,4,1.929161200709931321861254726,5,7,6,1,1,1,12,3,28,29,1
USD,41,0,0,,0,,0,1,12,12,1,1,0,0,2,0,258,0
USD,22,11,1,12,1,16,7.716644802839725287445018906,3,6,5,0,0,0,0,0,0,18,1
USD,6,0,0,,0,,0,1,13,5,0,0,1,12,3,,258,0
USD,6,0,1,1,0,,0,1,12,13,0,0,1,12,3,,259,0
USD,6,0,1,1,0,,0,1,12,5,1,0,0,0,0,0,259,0
EUR,36,0,0,,0,,0,1,13,13,0,0,0,0,3,,259,0
USD,121,0,1,1,0,,0,1,12,13,0,0,1,12,0,0,259,0
EUR,36,1,1,1,1,5,3.858322401419862643722509453,0,6,7,1,0,1,5,3,0,5,1
EUR,36,0,0,,0,,0,1,12,12,0,1,1,12,3,,259,0
EUR,36,0,1,8,0,,0,1,13,13,1,1,1,12,3,,259,0
EUR,36,0,1,0,0,,0,1,5,5,0,0,1,12,2,0,259,0
USD,85,0,0,,0,,0,1,12,12,0,0,0,0,3,,259,0
EUR,36,0,1,0,0,,0,1,12,13,1,0,1,12,3,,259,0
USD,6,0,1,1,0,,0,1,13,13,0,1,1,12,3,1,260,0
EUR,29,0,1,3,0,,0,1,12,13,0,0,1,12,3,2,260,0
EUR,36,13,1,14,1,36,5.787483602129793965583764179,5,8,6,1,0,1,9,2,0,37,1
EUR,36,12,1,13,1,14,1.929161200709931321861254726,0,13,5,0,0,0,0,3,0,14,1
EUR,29,0,1,2,0,,0,1,6,8,0,0,0,0,3,,260,0
EUR,36,0,0,,0,,0,1,12,5,0,0,1,12,0,,260,0
USD,79,0,0,,0,,0,1,12,12,0,0,1,12,3,0,260,0
EUR,36,0,1,0,1,2,3.858322401419862643722509453,5,5,6,1,0,1,5,2,0,2,1
USD,24,0,0,,0,,0,1,6,7,0,0,0,0,3,0,260,0
USD,25,0,1,0,0,,0,1,13,5,0,0,0,0,3,0,260,0
EUR,36,0,1,1,0,,0,1,13,13,0,0,0,0,3,1,261,0
EUR,36,0,1,7,0,,0,1,12,13,1,0,1,12,3,7,261,0
USD,101,0,1,2,0,,0,1,6,6,0,1,0,0,3,0,261,0
EUR,36,0,1,44,1,50,11.57496720425958793116752836,5,5,6,0,0,0,0,2,0,52,1
EUR,81,0,1,0,1,1,192.9161200709931321861254726,5,8,6,1,1,1,8,3,,1,1
EUR,36,0,1,0,1,1,2.314993440851917586233505672,0,6,7,1,0,1,5,3,0,2,1
USD,16,0,0,,0,,0,1,13,13,0,0,0,0,3,,261,0
USD,24,0,0,,0,,0,1,5,7,0,0,1,5,3,,261,0
EUR,36,0,0,,0,,0,1,0,0,0,0,0,0,0,,262,0
USD,113,0,0,,0,,0,1,12,12,1,1,1,12,3,,262,0
USD,86,0,0,,0,,0,1,0,0,0,0,0,0,3,,262,0
EUR,34,0,1,1,1,1,1.929161200709931321861254726,0,13,6,1,0,1,12,3,1,1,1
USD,24,0,0,,0,,0,1,13,13,1,1,1,12,3,,262,0
USD,78,6,0,,0,,0,1,13,13,0,0,1,12,0,,262,0
USD,6,0,0,,0,,0,1,12,12,1,1,0,0,3,,263,0
USD,85,0,0,,0,,0,1,12,12,1,1,1,12,3,,263,0
USD,6,0,1,2,1,3,1.929161200709931321861254726,3,12,13,1,1,0,0,3,3,4,1
USD,25,0,1,10,0,,0,1,12,12,0,0,1,12,3,,263,0
USD,33,0,0,,0,,0,1,13,6,1,1,0,0,3,,263,0
EUR,36,0,0,,0,,0,1,5,7,1,0,1,13,3,,264,0
EUR,36,0,1,6,1,10,11.57496720425958793116752836,5,13,5,1,0,0,0,3,,24,1
USD,77,0,0,,0,,0,1,12,12,1,1,0,0,0,,264,0
USD,6,0,1,0,0,,0,1,12,12,0,0,1,12,3,,264,0
USD,77,0,0,,0,,0,1,12,12,0,0,0,0,0,,264,0
USD,77,20,0,,0,,0,1,13,13,0,0,0,0,3,,264,0
USD,6,0,0,,0,,0,1,5,8,0,1,1,12,3,0,264,0
USD,114,0,1,3,1,4,1.929161200709931321861254726,3,12,13,1,0,0,0,3,0,5,1
EUR,38,0,1,229,0,,0,1,12,11,0,0,0,0,0,,264,0
USD,85,0,1,1,1,139,1.929161200709931321861254726,3,8,9,0,0,1,7,3,,139,1
USD,33,167,0,,0,,0,1,12,13,0,1,1,12,3,0,265,0
USD,120,0,0,,0,,0,1,12,5,0,0,0,0,3,,265,0
EUR,36,0,1,0,1,5,7.716644802839725287445018906,5,6,6,1,0,0,0,3,,5,1
EUR,36,0,0,,0,,0,1,13,12,0,0,0,0,3,,265,0
USD,6,0,0,,0,,0,1,0,0,0,0,0,0,2,0,265,0
USD,33,8,0,,0,,0,1,12,11,0,0,1,12,3,0,265,0
EUR,38,0,1,0,0,,0,1,12,12,0,0,1,12,3,0,265,0
EUR,36,26,1,26,1,29,38.58322401419862643722509453,5,8,8,1,0,1,6,3,0,40,1
USD,6,1,0,,0,,0,1,12,13,1,1,0,0,0,,266,0
USD,25,128,0,,0,,0,1,5,13,0,0,0,0,3,0,266,0
EUR,36,0,1,0,1,12,4.629986881703835172467011343,5,8,8,1,1,1,5,3,,14,1
EUR,36,0,1,0,0,,0,1,6,5,1,1,0,0,3,1,266,0
EUR,36,0,1,0,0,,0,1,8,9,1,0,0,0,3,0,266,0
EUR,36,0,1,0,1,178,7.716644802839725287445018906,0,6,7,1,1,1,6,3,,266,0
USD,77,0,0,,0,,0,1,12,13,1,0,1,12,0,,266,0
GBP,41,0,0,,0,,0,1,12,5,1,0,0,0,3,0,267,0
EUR,36,0,1,8,1,15,3.858322401419862643722509453,5,12,12,0,0,1,12,3,,22,1
EUR,36,2,1,216,0,,0,1,5,5,0,0,1,12,3,,267,0
EUR,22,0,0,,0,,0,1,12,13,1,0,0,0,3,,267,0
USD,6,0,0,,0,,0,1,12,6,0,0,0,0,3,,267,0
EUR,38,0,1,0,1,7,38.58322401419862643722509453,5,10,7,0,0,0,0,3,2,7,1
USD,120,0,1,0,0,,0,1,5,5,1,1,1,12,3,,267,0
USD,120,0,1,3,0,,0,1,5,12,1,1,1,12,2,0,267,0
USD,85,0,0,,0,,0,1,12,12,0,0,0,0,3,,267,0
USD,85,0,0,,0,,0,1,12,13,1,0,0,0,3,,268,0
EUR,36,0,1,2,0,,0,1,13,13,0,0,0,0,3,2,268,0
GBP,41,0,0,,0,,0,1,12,5,0,0,1,12,3,0,268,0
USD,85,0,1,2,0,,0,1,12,12,0,0,0,0,3,,268,0
EUR,36,17,1,18,1,23,27.00825680993903850605756617,5,7,8,0,0,1,5,3,0,23,1
EUR,100,0,1,0,1,7,7.716644802839725287445018906,5,13,5,1,0,1,12,3,,7,1
EUR,36,0,1,0,1,25,1.929161200709931321861254726,0,12,12,1,1,1,12,3,0,25,1
EUR,29,0,1,0,1,1,2.122077320780924454047380199,6,12,12,0,0,1,12,3,,1,1
EUR,36,0,1,0,1,2,3.858322401419862643722509453,5,5,12,1,0,0,0,3,,2,1
USD,6,127,1,128,0,,0,1,7,6,1,1,1,5,0,0,268,0
USD,6,7,1,28,0,,0,1,12,12,1,0,0,0,0,,268,0
EUR,36,0,1,1,1,5,15.43328960567945057489003781,5,5,6,1,0,0,0,3,,8,1
USD,48,0,1,1,1,3,1.929161200709931321861254726,3,9,9,1,1,0,0,3,,269,0
EUR,36,28,0,,0,,0,1,7,13,1,0,1,13,3,31,269,0
USD,25,0,0,,0,,0,1,12,12,0,0,0,0,0,,269,0
EUR,85,1,0,,0,,0,1,12,13,1,0,0,0,3,,270,0
USD,77,0,0,,0,,0,1,12,8,0,0,1,12,0,32,270,0
EUR,36,0,0,,0,,0,1,12,13,0,0,0,0,3,,270,0
EUR,36,2,1,2,1,3,3.433906937263677752913033413,0,5,5,1,1,1,5,3,2,3,1
USD,22,2,0,,0,,0,1,6,5,1,1,0,0,3,1,270,0
EUR,91,3,1,3,0,,0,1,12,13,0,0,1,12,3,0,271,0
EUR,36,0,0,,0,,0,1,12,5,0,0,1,5,2,0,271,0
USD,33,4,0,,0,,0,1,12,12,1,1,0,0,3,5,271,0
USD,16,0,0,,0,,0,1,12,12,0,0,1,12,0,0,271,0
EUR,36,0,0,,0,,0,1,7,8,1,0,1,6,3,0,271,0
GBP,41,0,1,0,0,,0,1,5,6,0,0,0,0,3,,271,0
USD,6,0,0,,0,,0,1,0,0,0,0,0,0,3,,271,0
EUR,29,0,0,,0,,0,1,0,0,0,0,0,0,3,0,271,0
USD,58,0,0,,0,,0,1,5,5,1,0,0,0,3,0,271,0
EUR,36,27,1,27,1,139,3.858322401419862643722509453,0,5,6,1,1,1,13,0,0,271,0
USD,6,0,1,3,0,,0,1,13,5,1,1,1,12,3,,271,0
USD,49,1,0,,0,,0,1,13,6,1,1,1,13,0,0,271,0
USD,77,0,0,,0,,0,1,12,12,0,0,0,0,3,0,271,0
EUR,36,0,0,,0,,0,1,12,5,0,0,0,0,0,0,272,0
USD,77,0,0,,0,,0,1,12,13,0,0,0,0,0,0,272,0
USD,36,6,1,7,0,,0,1,8,5,1,0,0,0,3,5,272,0
USD,77,0,0,,0,,0,1,12,5,0,0,0,0,0,0,272,0
EUR,36,0,1,1,1,14,19.29161200709931321861254726,5,10,9,1,1,1,8,3,,18,1
USD,31,2,0,,0,,0,1,13,5,1,1,1,13,3,,272,0
USD,48,0,1,0,1,7,19.29161200709931321861254726,5,5,7,0,0,0,0,3,11,33,1
USD,33,0,0,,0,,0,1,12,12,0,1,0,0,2,0,273,0
USD,25,0,1,1,1,1,15.43328960567945057489003781,3,5,5,0,0,0,0,3,,1,1
USD,77,0,0,,0,,0,1,12,12,0,0,1,12,3,,273,0
EUR,36,0,0,,0,,0,1,13,7,1,0,1,13,0,1,273,0
EUR,38,43,0,,0,,0,1,13,13,1,1,1,12,1,0,273,0
USD,24,0,1,1,0,,0,1,10,15,0,0,1,10,3,,273,0
USD,1,0,0,,0,,0,1,0,0,0,0,0,0,3,0,273,0
USD,33,0,0,,0,,0,1,12,12,1,1,1,12,3,,273,0
USD,48,0,1,6,1,6,1.929161200709931321861254726,3,7,7,0,1,1,7,3,,70,1
USD,117,0,1,0,1,0,2.314993440851917586233505672,3,9,7,1,0,0,0,3,,0,1
EUR,36,0,0,,0,,0,1,13,13,0,0,0,0,3,0,273,0
EUR,100,23,1,28,1,34,3.858322401419862643722509453,0,6,5,1,0,0,0,3,,34,1
USD,36,0,0,,0,,0,1,12,12,0,0,0,0,3,,274,0
USD,77,8,1,9,0,,0,1,13,5,0,0,0,0,3,,274,0
EUR,36,0,1,6,0,,0,1,12,13,1,0,1,12,3,,274,0
USD,33,1,0,,0,,0,1,12,13,1,1,1,12,2,0,274,0
EUR,38,62,1,63,0,,0,1,9,6,1,1,1,7,3,,274,0
